user_id	item_id	time
1355	3179	1
1319	17	1
1027	3328	1
266	202	1
1686	1524	1
1625	3037	1
1116	10886	1
1792	14844	1
625	511	1
1629	106	1
1187	886	1
734	940	1
158	2162	1
1761	10699	1
1237	11605	1
456	540	1
723	1667	1
1787	605	1
511	6527	1
1683	114	1
997	191	1
736	861	1
881	9356	1
323	2678	1
709	623	1
1055	3374	1
240	218	1
676	7928	1
1273	3144	1
334	450	1
523	6662	1
81	1950	1
1668	222	1
1072	521	1
629	196	1
686	2193	1
755	201	1
1272	354	1
1051	3341	1
334	3445	1
845	1442	1
1271	110	1
1246	819	1
1249	11676	1
900	2616	1
1614	1318	1
881	2982	1
880	9347	1
714	838	1
1059	3065	1
754	204	1
1429	2686	1
16	552	1
849	1224	1
486	1503	1
1646	381	1
771	0	1
753	5384	1
1089	145	1
1658	733	1
1478	12900	1
835	2665	1
1434	226	1
1564	886	1
99	2208	1
205	3378	1
390	5458	1
729	8276	1
937	5188	1
1493	4151	1
386	204	1
998	369	1
914	3689	1
497	605	1
300	4620	1
1212	11451	1
1084	1497	1
455	1682	1
1609	518	1
1404	946	1
241	2289	1
826	538	1
119	2572	1
596	3179	1
682	3804	1
953	1178	1
558	6965	1
964	219	1
1719	124	1
1258	204	1
538	0	1
492	6420	1
1437	685	1
1118	3558	1
1262	11744	1
144	80	1
898	135	1
790	222	1
224	3443	1
202	3559	1
1322	202	1
1045	1631	1
489	397	1
1501	222	1
527	886	1
1675	733	1
512	2424	1
1302	400	1
592	2390	1
405	4867	1
1021	535	1
1329	878	1
1126	685	1
300	202	1
1868	17	1
1772	571	1
1204	196	1
413	1908	1
381	1223	1
1561	745	1
1849	0	1
1197	1111	1
558	1602	1
913	83	1
1681	14104	1
1207	892	1
1447	213	1
478	1079	1
687	1103	1
708	8149	1
1882	6703	1
533	106	1
1464	7133	1
1831	5659	1
986	9956	1
1531	9557	1
1411	1618	1
1247	4929	1
1064	127	1
1644	3560	1
673	86	1
1269	3002	1
1721	230	1
1764	6196	1
1311	163	1
1111	1296	1
236	3902	1
500	6473	1
1273	11810	1
1438	852	1
132	1681	1
1202	11395	1
1589	489	1
1412	4760	1
329	808	1
892	80	1
1716	118	1
259	4154	1
1209	1152	1
905	658	1
341	2001	1
14	507	1
1517	874	1
1091	1733	1
1093	863	1
373	5326	1
1673	267	1
1331	8590	1
411	751	1
1581	13522	1
751	819	1
524	1980	1
348	2329	1
1159	3305	1
1071	5613	1
1199	11362	1
1407	94	1
904	869	1
974	941	1
1083	27	1
1656	941	1
1632	757	1
592	5776	1
55	1380	1
1079	535	1
1170	1517	1
677	7	1
675	7450	1
549	4679	1
125	2652	1
1662	994	1
1167	11224	1
317	207	1
1481	7250	1
1494	198	1
477	1342	1
560	381	1
118	1472	1
1646	880	1
495	2206	1
1027	3890	1
419	145	1
1150	80	1
614	2016	1
1755	14638	1
529	862	1
1416	12561	1
59	11	1
1617	1132	1
442	291	1
580	3849	1
1617	128	1
1800	4997	1
991	208	1
944	237	1
1221	1768	1
1173	128	1
1497	1324	1
643	117	1
970	1631	1
1841	373	1
664	7813	1
978	2658	1
193	3444	1
539	960	1
803	8829	1
1290	1187	1
1482	229	1
1383	195	1
1690	2442	1
1129	1398	1
1730	13721	1
139	222	1
5	206	1
467	6185	1
112	2466	1
980	5547	1
1524	193	1
284	1578	1
285	943	1
924	4304	1
1190	8806	1
805	367	1
1081	1713	1
860	3939	1
1836	875	1
1290	177	1
1868	740	1
1387	5321	1
144	2108	1
1619	27	1
1028	8493	1
510	142	1
1322	192	1
493	748	1
168	518	1
126	523	1
1264	11764	1
1423	206	1
1027	10244	1
1289	1937	1
615	4	1
1837	365	1
1705	14315	1
1300	4011	1
982	9930	1
799	1206	1
1575	13487	1
245	1670	1
1560	9872	1
677	7934	1
985	196	1
34	883	1
533	207	1
1859	15193	1
176	3065	1
27	830	1
1655	1432	1
527	93	1
151	2915	1
1240	395	1
1194	145	1
1594	229	1
351	1578	1
237	3919	1
837	193	1
1687	6748	1
591	4090	1
1696	14214	1
849	9095	1
1370	740	1
1652	143	1
1885	370	1
1628	13778	1
1831	4383	1
470	4482	1
1600	13486	1
321	880	1
287	1938	1
1190	2694	1
418	1142	1
1666	2054	1
877	5404	1
1766	1759	1
441	5989	1
1252	11700	1
337	4993	1
188	3356	1
419	249	1
660	1229	1
1609	4681	1
933	672	1
1282	4490	1
1256	310	1
1264	267	1
719	3893	1
355	218	1
1667	2105	1
946	9740	1
137	207	1
1782	849	1
103	2302	1
492	5127	1
1418	6082	1
1392	958	1
1657	532	1
296	385	1
997	605	1
720	835	1
1798	1445	1
973	31	1
1606	658	1
1411	295	1
611	6959	1
1583	663	1
1654	1305	1
1061	80	1
1228	5453	1
1424	310	1
516	6603	1
1212	6406	1
1344	193	1
1374	418	1
1651	115	1
657	238	1
778	672	1
1027	10251	1
1285	11854	1
1607	1376	1
149	454	1
968	9861	1
437	381	1
139	2343	1
204	3583	1
493	6431	1
1733	369	1
967	1605	1
1122	8046	1
585	635	1
1409	240	1
1647	5818	1
1504	2334	1
1312	291	1
526	2113	1
527	148	1
679	1144	1
901	809	1
1466	811	1
310	338	1
1504	4218	1
889	397	1
654	7710	1
632	4850	1
50	1287	1
1589	518	1
1258	1185	1
1234	2050	1
1745	14567	1
1165	2084	1
1626	562	1
616	7496	1
850	2565	1
1057	2499	1
994	448	1
815	402	1
154	811	1
1620	216	1
853	7654	1
812	8892	1
1603	13657	1
1224	454	1
163	3044	1
1535	2762	1
835	4419	1
1104	725	1
967	9858	1
387	4682	1
233	2318	1
911	951	1
1418	12569	1
1635	6209	1
1639	9106	1
1236	1110	1
1232	518	1
1855	274	1
1813	14979	1
157	2993	1
1037	2750	1
1380	228	1
1868	1002	1
339	747	1
923	777	1
912	1677	1
1525	13175	1
521	2525	1
1102	98	1
1730	1614	1
74	920	1
1259	459	1
372	385	1
56	888	1
1531	13224	1
1327	12056	1
690	929	1
1243	112	1
334	916	1
283	326	1
842	4092	1
295	1002	1
1682	14111	1
193	2678	1
171	1462	1
1824	870	1
224	193	1
1239	667	1
560	277	1
316	201	1
759	8523	1
176	110	1
440	207	1
1832	2004	1
1276	306	1
1688	202	1
1508	956	1
1399	700	1
1318	144	1
1110	10858	1
723	389	1
1785	2592	1
798	2902	1
1455	996	1
400	5542	1
1366	86	1
369	757	1
1608	39	1
152	376	1
509	6508	1
1236	11593	1
549	603	1
600	1250	1
280	1002	1
1434	195	1
601	1402	1
542	1614	1
1131	547	1
432	141	1
41	1151	1
3	106	1
115	2503	1
96	2174	1
650	1178	1
421	5795	1
1203	11409	1
1142	108	1
207	458	1
664	780	1
37	1061	1
1605	3038	1
1595	117	1
303	1711	1
117	358	1
654	183	1
1209	115	1
1514	6382	1
109	2402	1
15	4	1
823	4625	1
583	541	1
1454	80	1
832	193	1
684	543	1
913	888	1
552	523	1
346	5094	1
1606	144	1
1415	702	1
309	1656	1
122	2606	1
1627	3137	1
1838	3052	1
58	1448	1
1849	87	1
1550	338	1
449	202	1
1872	146	1
1003	1634	1
902	1367	1
1794	301	1
1364	12362	1
1493	144	1
1822	15016	1
932	2010	1
1366	4390	1
1364	12366	1
640	607	1
1270	107	1
1841	863	1
941	1557	1
656	7726	1
1386	1342	1
1217	338	1
1466	354	1
1403	12511	1
975	31	1
1263	1379	1
1733	1013	1
246	3235	1
1238	999	1
635	714	1
843	244	1
1717	950	1
1740	582	1
963	4392	1
1386	453	1
1029	6431	1
305	106	1
137	224	1
1665	13930	1
626	2318	1
727	1342	1
1216	5776	1
663	218	1
1759	6051	1
390	5456	1
1609	332	1
724	207	1
1150	107	1
1878	1288	1
1744	2619	1
1556	1473	1
1827	2105	1
43	194	1
1106	144	1
529	2020	1
1310	221	1
543	650	1
1773	202	1
445	218	1
115	1711	1
825	143	1
547	2292	1
464	354	1
102	2177	1
1873	1569	1
1486	2797	1
496	6453	1
944	526	1
1117	17	1
881	240	1
434	5919	1
1325	1446	1
337	4961	1
328	148	1
1499	816	1
1401	184	1
1197	11342	1
951	1937	1
387	1002	1
616	657	1
1093	112	1
1112	6209	1
1526	13193	1
1077	338	1
55	1389	1
301	633	1
913	751	1
667	31	1
1614	4799	1
65	1592	1
1179	1297	1
921	118	1
778	6080	1
859	112	1
863	625	1
462	4700	1
888	2049	1
762	8570	1
419	748	1
1186	83	1
947	148	1
68	6	1
1781	106	1
1672	135	1
269	4254	1
236	3908	1
936	604	1
1258	537	1
1360	12344	1
78	1877	1
924	268	1
1480	9992	1
1455	562	1
1325	12047	1
1141	87	1
714	3137	1
161	794	1
305	354	1
387	489	1
1272	144	1
989	1623	1
927	3544	1
1347	12195	1
1572	5519	1
1571	17	1
1473	402	1
586	240	1
1220	6474	1
268	527	1
230	535	1
695	8074	1
1884	15323	1
437	540	1
1123	3994	1
363	5242	1
559	6982	1
1564	398	1
524	545	1
459	458	1
437	633	1
1346	737	1
1011	211	1
785	6474	1
